"Time","Temperature -TS00 Monitor: Temperature -TS00 Monitor (K)","Temperature -TS01 Monitor: Temperature -TS01 Monitor (K)","Temperature -TS02 Monitor: Temperature -TS02 Monitor (K)","Temperature -TS03 Monitor: Temperature -TS03 Monitor (K)","Temperature -TS04 Monitor: Temperature -TS04 Monitor (K)","Temperature -TS05 Monitor: Temperature -TS05 Monitor (K)"
0.0037120500000034015,550.8193845537401,629.8337934327261,690.6234546663944,783.015203684955,870.2042044428132,2350.880304669217
0.0037131000000034044,550.6097514030574,629.958749288846,690.6869877731294,783.1188843800813,870.3184017000692,2350.7453541481677
0.0037141500000034073,550.4011153144776,630.0659877941453,690.7305469941404,783.2012916560234,870.4536810283623,2350.614606462566
0.00371520000000341,550.188631290451,630.1449236793088,690.7523455020787,783.2495076933659,870.6329517322549,2350.49048919241
0.003716250000003413,549.9714865751936,630.2188924431878,690.7126908840395,783.2255162536343,870.9375293101593,2350.3754345004554
0.003717300000003416,549.7439201116518,630.2595553433296,690.6922057321386,783.1946145833122,871.3907398864616,2350.2711918168857
0.0037183500000034187,549.5149907884824,630.2720267158284,690.6877525225909,783.1866856854535,872.199687479468,2350.1789273493714
0.0037194000000034216,549.2922434630577,630.2726460429857,690.7069857929226,783.1985954857151,873.8990889251515,2350.100238611019
0.0037204500000034245,549.0791166683057,630.2427988083277,690.7363315444635,783.2346757927128,877.5780046944062,2350.036316550229
0.0037215000000034274,548.8767531458564,630.178481907618,690.7713955662852,783.3056734966773,884.643837327303,2349.987650482952
0.0037225500000034302,548.687497492989,630.1229360358691,690.8376446996942,783.3698407525859,894.8876297673996,2349.955396405686
0.003723600000003433,548.509031033424,630.0771205071363,690.9217826445727,783.4058913590412,905.1192724007826,2349.9390467113367
0.003724650000003436,548.3331400260021,630.0447876899974,691.0111139747046,783.4225659761474,912.6292453223085,2349.93841518044
0.003725700000003439,548.1499828879067,630.0261966781587,691.1299374200253,783.4398572265583,917.1783988680703,2349.952735946935
0.0037267500000034417,547.9521450053451,630.0258342719379,691.2584272244264,783.4742438746422,919.8025738054387,2349.9816060859653
0.0037278000000034446,547.734506607802,630.0477143071462,691.3728665919089,783.534784443806,921.3693112159482,2350.024770254603
0.0037288500000034475,547.5023850459231,630.0832536190794,691.4757070201109,783.6275709208442,922.3115683724247,2350.0745845254764
0.0037299000000034503,547.2607029568557,630.1263800164088,691.5752717615022,783.7498170618304,922.8984425995623,2350.124102711475
0.003730950000003453,547.0092377303382,630.2433772692646,691.6166327798949,783.8146406757586,923.3745469373688,2350.182285771271
0.003732000000003456,546.75336790422,630.3499416794688,691.6676494338266,783.8740869117677,923.7034142615707,2350.250501438622
0.003733050000003459,546.504572917504,630.4419481857575,691.7319518778054,783.9284146927664,923.9095771849826,2350.329747916746
0.003734100000003462,546.2618912235495,630.5168019649926,691.8009207302244,783.9848963645641,924.0302328309424,2350.4188312793794
0.0037351500000034647,546.0225264171019,630.5659363101976,691.8774432885466,784.0707380901217,924.086329301503,2350.5135797632124
0.0037362000000034676,545.785017231364,630.5843027641312,691.9659200154074,784.2366678606755,924.0670659641851,2350.603776971863
0.0037372500000034704,545.5466008003734,630.5957039080332,692.0487760805997,784.4593439741466,924.0234933268305,2350.6781508370714
0.0037383000000034733,545.2977366633351,630.5954906331393,692.1230296240386,784.7293033521838,923.9900965511408,2350.7292589725107
0.003739350000003476,545.0377628692651,630.597679071555,692.1854465350566,785.0027210137375,923.9715588805304,2350.754798189842
0.003740400000003479,544.7764213603748,630.6098378172222,692.2242550472216,785.2411652554388,923.926892177093,2350.7558421834387
0.003741450000003482,544.5176989740257,630.6297459401379,692.2313441229605,785.4301326769981,923.8356657879804,2350.7347254067477
0.003742500000003485,544.2726253892843,630.6561345708817,692.2295565235603,785.5437395961857,923.7370927307295,2350.694019770408
0.0037435500000034877,544.0481025460895,630.6880429395203,692.2256351579863,785.5973367726291,923.6281882906281,2350.635973614009
0.0037446500000034907,543.8299232023631,630.7197516465675,692.2197322608936,785.6292437015267,923.5258588982127,2350.559296793193
0.0037457000000034935,543.6271639907777,630.7254510115289,692.2449403624616,785.6602253487792,923.5188511760952,2350.4728856001675
0.0037467500000034964,543.4255708599233,630.71380710453,692.2837150198385,785.7080072564369,923.5585851748493,2350.374966318585
0.0037478000000034993,543.2163203798868,630.6937254402137,692.3356034102168,785.781659372686,923.619885167824,2350.2679416362744
0.003748850000003502,542.9993956696593,630.6706302425836,692.3994873995296,785.8768908683037,923.7026824218982,2350.1541983612356
0.003749900000003505,542.7805091486466,630.6480110873657,692.4613078182997,785.9866845707841,923.8028801752224,2350.035941590058
0.003750950000003508,542.5628182162602,630.6421073897837,692.4434319982063,786.100415862348,923.858967685078,2349.9152208051255
