"Time","Density -TS00 Monitor: Density -TS00 Monitor (kg/m^3)","Density -TS01 Monitor: Density -TS01 Monitor (kg/m^3)","Density -TS02 Monitor: Density -TS02 Monitor (kg/m^3)","Density -TS03 Monitor: Density -TS03 Monitor (kg/m^3)","Density -TS04 Monitor: Density -TS04 Monitor (kg/m^3)","Density -TS05 Monitor: Density -TS05 Monitor (kg/m^3)"
0.0038550000000037925,1.9787450995650266,1.7775347469785676,1.6743989527998289,1.488225906439931,1.0998956499703256,0.3916913319743714
0.0038560500000037953,1.979544144582909,1.7778255793508686,1.674561204171225,1.4884742840473795,1.0996402656002457,0.3917618761310787
0.003857100000003798,1.9803814302319038,1.7780712552708855,1.6747216714486917,1.488790871549792,1.0993793951549047,0.39183643686869285
0.003858150000003801,1.9811726224910697,1.77826310943906,1.674907699268529,1.4891726552725906,1.0991032951818998,0.3919144606775602
0.003859200000003804,1.9819173779944244,1.7784228125388561,1.6751147797994428,1.4895997121112967,1.0988095160186189,0.3919930814434327
0.003860250000003807,1.98261840887947,1.7785673476844648,1.6753332517265385,1.490042732590971,1.098489969924617,0.39206828509897074
0.0038613000000038097,1.9832409309927064,1.7786883432268128,1.6755494375782798,1.4904580408325885,1.0981069462658493,0.3921376100684177
0.0038623500000038126,1.9838345076337685,1.7787896663629548,1.6757761149036807,1.4908129287847407,1.0976660688380302,0.39220011276532746
0.0038634000000038154,1.9844104147944672,1.7788643656456196,1.6759863066244667,1.4910871313828364,1.097209017846985,0.3922561119288016
0.0038644500000038183,1.9849622017366872,1.778885615304736,1.6761743305426742,1.4912760485546928,1.0967420663111105,0.3923065925240729
0.003865500000003821,1.9854971780186872,1.7788274270713138,1.6763247265267514,1.4913801277721965,1.096348591721633,0.39235240150698397
0.003866550000003824,1.986034397768306,1.7786307783209785,1.6764439642007736,1.491413123909551,1.096068416706823,0.39239411931923723
0.003867600000003827,1.9865696429810007,1.7783203570894088,1.676566291525091,1.4914487069141882,1.0958648975903682,0.3924320957370327
0.00386865000000383,1.9871151477561844,1.7779244903825089,1.6766748420138005,1.4915189007930594,1.0957147010737236,0.39246663304907375
0.003869750000003833,1.9877214469807691,1.7774456524023987,1.6767797193611884,1.4916376407168062,1.0955837335801077,0.39249956777847794
0.0038708000000038357,1.9883541145563803,1.7770390467440504,1.6768406753412175,1.4917899425200476,1.0954086727775225,0.3925284409910527
0.0038718500000038385,1.9890479750745376,1.7767112324513485,1.6768794073426185,1.4920189391030425,1.0951720819514665,0.3925553339119954
0.0038729000000038414,1.9897776723523501,1.776483302917519,1.676906570839796,1.492302959108957,1.0949068746672421,0.392580975146897
0.0038739500000038443,1.990490248809575,1.7763712769597362,1.6768879935116068,1.49261656081105,1.0946444287018096,0.3926062842990338
0.003875000000003847,1.9911756758009926,1.7763632571063335,1.676815966915941,1.492963639351139,1.0944409309592416,0.3926323980930106
0.00387605000000385,1.9918131974130446,1.7764569769945333,1.6767091228578717,1.4933354385225497,1.0943658868258068,0.3926603398226773
0.003877100000003853,1.992389564160387,1.7766572675293753,1.6765399329103305,1.4937546239595714,1.094583820545249,0.39269080348931945
0.0038781500000038558,1.993006239901839,1.7768819323378946,1.6763715776676082,1.494267868516573,1.095461699235259,0.3927236139598058
0.0038792000000038586,1.993692229861622,1.7770682700303135,1.676248505245356,1.4948462685316113,1.097928833660535,0.3927625233052636
0.0038802500000038615,1.994434033318372,1.7772150922265144,1.6761762755595917,1.4954643244346313,1.1039578778860117,0.3928079847675955
0.0038813000000038644,1.9952180841854077,1.7773827277229763,1.6762344292905382,1.496181079491606,1.1161108189626137,0.39285821856556497
0.0038823500000038673,1.996005752050752,1.777633937978701,1.6763464116359557,1.4968473169290826,1.1344802760770845,0.3929120706128118
0.00388340000000387,1.9967464431971529,1.7779619048490394,1.6764235823173406,1.4974483439541262,1.1541345525651328,0.39296880798111083
