"Time","Density -TS00 Monitor: Density -TS00 Monitor (kg/m^3)","Density -TS01 Monitor: Density -TS01 Monitor (kg/m^3)","Density -TS02 Monitor: Density -TS02 Monitor (kg/m^3)","Density -TS03 Monitor: Density -TS03 Monitor (kg/m^3)","Density -TS04 Monitor: Density -TS04 Monitor (kg/m^3)","Density -TS05 Monitor: Density -TS05 Monitor (kg/m^3)"
0.0013687499999995275,0.4019480212523754,0.4187741901717669,0.39098143271240243,0.31616769855125787,0.19026409796426455,0.14962140618652203
0.0013697999999995258,0.4019912082773527,0.4187972677359572,0.390844387269791,0.3167989505233313,0.1907648460357422,0.15002606137457358
0.001370849999999524,0.4020345711802593,0.4187435117709858,0.3906772145809832,0.31757319611997487,0.19128246380996636,0.15040536488273834
0.0013718999999995224,0.4020774691215751,0.41872064904975803,0.3904750742872277,0.31842916805971505,0.19184807656330827,0.15076131449675448
0.0013729999999995207,0.40212182950362263,0.41888588483794803,0.3902601758594494,0.3193783207595349,0.1924707130855868,0.15111082819587304
0.001374049999999519,0.4021638689425692,0.4192541812681326,0.3901389777691855,0.3202246400152388,0.19307632439780545,0.15142480751565568
0.0013750999999995173,0.40220521120154684,0.4197262632759599,0.39017386049099406,0.3209254159451659,0.19365741595057978,0.15172198162436984
0.0013761499999995156,0.40224559895770173,0.4201503269192663,0.39033968845555783,0.3215044895920625,0.19414104989545153,0.1520048605881848
0.001377199999999514,0.4022851083794656,0.4203852185975996,0.39054353928758284,0.32201555094450424,0.19449759993519194,0.15227629530166814
0.0013782499999995122,0.40232346706439714,0.42045275261073145,0.39073289690808616,0.3225331157930504,0.19474620150399977,0.1525388049782183
0.0013792999999995106,0.40236038270981,0.42044236964604187,0.39092597169814797,0.3230992165284803,0.19494276284850476,0.152794447683179
0.0013803499999995089,0.4023958955207993,0.42042956346359506,0.39115639730757606,0.32367764548379374,0.1951325990918355,0.15304486403869394
0.0013813999999995072,0.4024296343864738,0.42050759109589547,0.3915021295904169,0.3242229177657934,0.19530844927222027,0.15329170179742393
0.0013824499999995055,0.4024609578740557,0.42071413473668173,0.39196574064810635,0.32475426442151467,0.1954678118668551,0.15353702582366943
0.0013834999999995038,0.4024904955978942,0.42099548061040065,0.3924282255059276,0.325258631854887,0.19565394472259393,0.15378367365142226
0.0013845499999995022,0.40251882258548444,0.42129637543497295,0.39281740031398016,0.32571586752802856,0.19589997189696676,0.15403415525710756
0.0013855999999995005,0.4025457314969321,0.42157020134698936,0.3931103941932356,0.32618301244542347,0.19623768669730415,0.15429404138529407
0.0013866499999994988,0.4025714746523451,0.4217396981043723,0.39327796035911783,0.3267725516291314,0.19669293672495253,0.1545759492376171
0.001387699999999497,0.4025959634955518,0.42186166511085255,0.3933489228084311,0.32748331042166073,0.19723092571559295,0.1548783572679501
0.0013887499999994954,0.4026182856480543,0.42206373280175064,0.39346813459320884,0.32816974848158836,0.19783189477750773,0.1552026649303628
0.0013897999999994937,0.40263788202025463,0.4223484295865549,0.39377784918177666,0.3287908224980275,0.19847104572761765,0.15556247075687546
0.001390849999999492,0.4026551083716968,0.4227041221986251,0.3942248046236207,0.32932712865795516,0.19908126718148156,0.15596965754765468
