"Time","Temperature -TS00 Monitor: Temperature -TS00 Monitor (K)","Temperature -TS01 Monitor: Temperature -TS01 Monitor (K)","Temperature -TS02 Monitor: Temperature -TS02 Monitor (K)","Temperature -TS03 Monitor: Temperature -TS03 Monitor (K)","Temperature -TS04 Monitor: Temperature -TS04 Monitor (K)","Temperature -TS05 Monitor: Temperature -TS05 Monitor (K)"
0.004538350000000179,384.9166630103774,597.2534600728536,621.3865976510878,674.5713632818399,779.7368883733504,2247.7120618018794
0.0045394000000001725,384.7309744881962,597.270368966139,621.2691577616025,674.5339804705444,785.795878142964,2247.7960276440217
0.004540450000000166,384.54310880071813,597.2421983424617,621.2104318373341,674.4925446678616,795.6164838347898,2247.8774568466342
0.00454150000000016,384.3492524854365,597.173130864167,621.2295605566961,674.4393356421016,806.2556087215575,2247.955250337842
0.004542550000000154,384.1507529471666,597.0978363751824,621.2432481697205,674.3760509333961,814.2892816909546,2248.0285211663268
0.0045436000000001475,383.95298080460367,597.0250062795403,621.239464669773,674.3142602455157,819.2987131283465,2248.096827151877
0.004544650000000141,383.75907862189683,596.9694826990651,621.2440968270266,674.2690802575756,822.2492979562137,2248.1600880596634
0.004545700000000135,383.568212463894,596.9471647926556,621.2697229202817,674.2777612584438,824.0448340342087,2248.2184612074484
0.004546750000000129,383.39095341111334,596.9366943509915,621.2973771294647,674.3234934845866,825.250637217028,2248.2727981630787
0.004547800000000123,383.22266125904684,596.9267741185475,621.3493893105908,674.3773905933314,826.1459426784053,2248.3225151361735
0.004548850000000116,383.0593085532785,596.9135772688809,621.427621046157,674.4212553757616,826.8530282972716,2248.3673779924025
0.00454990000000011,382.89492697360663,596.8928616667428,621.5322301514519,674.4544766733668,827.4227869394405,2248.407679206406
0.004550950000000104,382.7293545021472,596.9177992729562,621.6217518223921,674.4558894454232,827.9318767412336,2248.443567466878
0.004552000000000098,382.56002618679656,596.9321189171978,621.7401033699267,674.4465777658853,828.3549231622544,2248.4751838125785
0.004553050000000091,382.3871123419859,596.9448030943557,621.8775961266399,674.4277363502218,828.715795278164,2248.5026332772222
0.004554100000000085,382.21315462673726,596.9599138716295,622.0261621669229,674.4181167835012,829.0476575434743,2248.526776313086
0.004555150000000079,382.04199686804503,596.9819460354597,622.1878688002648,674.4288954834045,829.3671088850285,2248.548488638514
0.004556200000000073,381.87427369868396,597.0631024438073,622.4054715914069,674.4376630521316,829.654758860758,2248.568750115353
0.0045572500000000665,381.7127535813636,597.1324216549758,622.6009940159458,674.4647685957141,829.9701407939652,2248.5890901365838
0.00455830000000006,381.5633773325213,597.202511058607,622.8038392326706,674.4978443752367,830.3096514578165,2248.6112869214753
0.004559350000000054,381.41900557821117,597.2755420697218,623.0272888043355,674.523003402043,830.6604947780854,2248.6366214808045
0.004560400000000048,381.2812863533733,597.3042575821039,623.225908436901,674.533950573961,831.0048954949287,2248.6701188658835
0.0045614500000000415,381.1478354986356,597.2754289579535,623.3846465303849,674.5307955693722,831.3411437193189,2248.713466989843
0.004562500000000035,381.00643277271354,597.2528919112166,623.5483838755409,674.5098384933174,831.6960894848149,2248.7635012139003
0.004563550000000029,380.8567219199702,597.2309604501864,623.677710681676,674.4771959926891,832.0700083288241,2248.818052457332
0.004564600000000023,380.7033812501686,597.1996201355934,623.760785456234,674.4471791741227,832.4607135990861,2248.87669201625
0.004565650000000017,380.5496817381833,597.1498068067605,623.804022938116,674.458145663634,832.8694493252484,2248.9384623781616
